,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
51519,0,2016,81598,WV,1C4RJFAG4GC414202,Jeep,Grand Cherokee,Excellent,Public
361655,11995,2011,105978,ID,WBAFR7C57BC602697,Bmw,5-Series,Excellent,Public
117522,9500,2013,74074,AZ,1VWBN7A38DC047029,Volkswagen,Passat Tdi Se Sedan 4D,Unknown,Public
507320,7931,2011,153475,NV,5J6RE3H72BL014747,Honda,Cr-V,Excellent,Public
145823,11988,2011,82597,IA,4S4BRBKCXB3370306,Subaru,Outback 2.5I Limited,Unknown,Public
269705,23500,2017,39405,TN,3C6RR6LT5HG664931,Ram,1500,Unknown,Public
510331,31990,2018,38917,MI,1C4BJWEG0JL900217,Jeep,Wrangler Jk Unlimited,Unknown,Public
216987,7995,2011,236426,IA,1GKS2KE39BR315531,Gmc,Yukon Xl,Good,Public
224038,16997,2012,134960,NY,1GNSKKE71CR178401,Chevrolet,Suburban,Excellent,Public
321962,6950,2008,126700,OR,4JGCB65E58A075809,Mercedes-Benz,R350 4Matic,Excellent,Public
72580,0,2006,180506,TX,1GTEC19VX6Z250805,Gmc,Sierra 1500,Excellent,Public
269102,13100,2018,14000,FL,JF2SJAGC1JH598969,Subaru,Forester Premium,Good,Public
151100,18995,2015,105888,MD,2T2BC1BA7FC003404,Lexus,Rx,Unknown,Public
90043,4229,2006,173330,DC,4T1BE30K26U149651,Toyota,Camry,Unknown,Public
303396,6995,2005,66500,MT,5GADT13S752170977,Buick,Rainier Cxl Awd,Excellent,Public
470544,18112,2010,77988,MI,1J4BA5H10AL122965,Jeep,Wrangler Unlimited,Unknown,Public
100522,23995,2015,73963,AK,3GYFNGE33FS606217,Cadillac,Srx,Unknown,Public
449716,9995,1992,51947,NM,1g1yy33p3n5105477,Chevrolet,Corvette Convertible,Excellent,Auction
120853,4545,2009,16989,TX,1NXBU40E99Z050767,Toyota,Corolla Le,Good,Public
265358,0,2009,147529,MI,2B3KA53T39H618089,Dodge,Charger,Excellent,Public
209060,6950,2010,70100,FL,1G4HC5EM9AU110361,Buick,Lucerne Cxl,Good,Public
212968,5999,2014,118658,MI,1G1PA5SG7E7202182,Chevrolet,Cruze,Unknown,Public
127640,6000,1994,310000,WA,1FDKE30M8RHB83561,Ford,Ambulance,Good,Auction
23870,15500,2004,175000,NM,2FTRF07384CA58104,Ford,F150 (Heritage) Regular Cab,Unknown,Public
424139,6599,2005,105660,CA,1FTPX125X5FB51179,Ford,F150 Supercab Xlt,Unknown,Public
69611,7995,2010,136555,RI,5NMSHDAGXAH345459,Hyundai,Santa Fe,Excellent,Public
450223,0,2011,84499,MI,WBAPL5G57BNN22180,Bmw,3 Series,Excellent,Public
24296,4888,2008,209652,NM,1FTPX12V58FB96048,Ford,F-150,Unknown,Public
434229,1,2020,231492,FL,V443017316,Mitsubishi,Pajero,Unknown,Public
286106,0,2012,84632,OH,1C4RJFAG2CC325819,Jeep,Grand Cherokee,Excellent,Public
204174,24874,2016,115827,IA,1FM5K8HT8GGD11265,Ford,Explorer,Unknown,Public
157350,4999,2008,126686,FL,5GAEV23758J244603,Buick,Enclave,Excellent,Public
322435,7995,2013,100200,CT,5FNYF4H20DB024076,Honda,Pilot,Unknown,Public
311315,35988,2017,30476,HI,3TMCZ5AN2HM053253,Toyota,Tacoma,Unknown,Public
325596,10400,2011,117000,NY,1GCWGFCA4B1187978,Chevrolet,Express,Good,Public
324511,0,2015,87796,CA,2T3YFREV7FW176087,Toyota,Rav4 Limited Suv,Excellent,Public
128435,0,2011,158159,LA,5NPEC4AB5BH280525,Hyundai,Sonata,Unknown,Public
175697,27300,2018,35562,IA,1FBZX2YG3JKB06145,Ford,Transit T350 Xlt,Excellent,Public
44431,18000,2015,57816,CO,2FMTK4K94FBB48410,Ford,Edge,Unknown,Public
208632,9895,1997,235000,FL,JT3HJ85J0V0180804,Toyota,Land Cruiser 1997,Good,Auction
228571,15894,2015,65445,OH,5LMCJ2A90FUJ09085,Lincoln,Mkc,Unknown,Public
69516,37500,2017,25814,CA,3GTP1PEJ8HG185248,Gmc,Sierra 1500 Crew Cab Denali,Good,Public
536963,32340,2019,8394,NC,1C6RR7LT3KS698999,Ram,1500,Excellent,Public
